district,year,crop,germ_temp,veg_temp,flow_temp,fruit_temp,germ_rh,veg_rh,flow_rh,fruit_rh,germ_prec,veg_prec,flow_prec,fruit_prec,n__g/kg,soc__g/kg,soil_ph,kg/acre
attock,1981,maize,17.29,25.42,31.63,36.22,58.97,43.16,32.49,17.88,139.91,44.09,38.03,21.77,1.538567,16.76787,7.54444,444.53441295546554
attock,1981,wheat,19.43,13.58,11.05,13.9,54.34,63.23,56.6,55.31,14.34,34.45,92.56,58.41,1.538567,16.76787,7.54444,331.57894736842104
attock,1981,rice,36.22,33.65,30.48,28.88,17.88,50.79,65.07,52.33,21.77,144.05,135.21,12.79,1.538567,16.76787,7.54444,0.0
attock,1982,maize,14.47,22.55,26.37,32.66,70.62,59.1,58.2,36.26,112.51,153.08,89.0,15.01,1.538567,16.76787,7.54444,436.84210526315786
attock,1982,wheat,18.05,13.87,11.85,10.37,29.82,35.65,43.78,60.83,10.91,8.13,23.17,222.06,1.538567,16.76787,7.54444,402.0242914979757
attock,1982,rice,32.66,35.98,32.43,30.65,36.26,31.02,52.64,23.44,15.01,33.53,87.22,6.98,1.538567,16.76787,7.54444,0.0
attock,1983,maize,16.15,20.6,27.58,32.44,51.31,61.8,53.09,34.13,87.07,250.12,59.68,32.39,1.538567,16.76787,7.54444,451.0121457489878
attock,1983,wheat,18.19,11.68,10.73,13.05,38.99,53.58,49.26,50.46,55.39,40.42,37.51,28.24,1.538567,16.76787,7.54444,351.8218623481781
attock,1983,rice,32.44,34.2,30.97,28.7,34.13,39.48,63.55,56.73,32.39,61.77,215.8,42.72,1.538567,16.76787,7.54444,0.0
attock,1984,maize,21.19,25.17,34.26,37.32,41.6,41.09,15.47,22.36,53.31,35.78,2.24,34.25,1.538567,16.76787,7.54444,446.55870445344124
attock,1984,wheat,18.36,13.3,10.95,10.79,22.7,33.3,32.85,45.32,1.61,1.68,4.15,40.01,1.538567,16.76787,7.54444,373.6842105263158
attock,1984,rice,37.32,32.39,30.96,26.86,22.36,53.92,65.28,60.04,34.25,177.95,70.45,111.3,1.538567,16.76787,7.54444,0.0
attock,1985,maize,21.62,25.66,32.0,36.56,26.45,41.04,21.8,16.81,33.17,49.84,25.84,2.24,1.538567,16.76787,7.54444,411.3360323886639
attock,1985,wheat,17.59,11.72,10.76,15.5,32.51,37.92,48.24,26.25,9.7,13.73,5.94,7.03,1.538567,16.76787,7.54444,535.6275303643724
attock,1985,rice,36.56,33.43,31.07,30.28,16.81,48.98,61.65,36.61,2.24,107.52,122.26,5.82,1.538567,16.76787,7.54444,0.0
attock,1986,maize,16.07,23.78,29.27,35.22,59.81,47.55,35.7,24.22,130.69,44.6,63.72,29.27,1.538567,16.76787,7.54444,453.44129554655865
attock,1986,wheat,18.63,13.24,10.61,12.58,26.98,47.53,44.12,54.4,6.37,102.11,16.12,79.78,1.538567,16.76787,7.54444,432.79352226720647
attock,1986,rice,35.22,34.29,31.08,28.64,24.22,41.54,56.55,44.1,29.27,32.57,132.18,45.38,1.538567,16.76787,7.54444,0.0
attock,1987,maize,18.25,24.98,27.29,34.76,59.9,42.16,43.44,23.91,115.81,12.04,64.61,15.27,1.538567,16.76787,7.54444,392.30769230769226
attock,1987,wheat,18.44,12.14,12.64,14.59,36.85,49.18,44.83,52.59,76.44,44.16,1.48,58.4,1.538567,16.76787,7.54444,344.9392712550607
attock,1987,rice,34.76,36.88,34.57,32.5,23.91,23.99,35.77,25.48,15.27,9.75,35.35,7.47,1.538567,16.76787,7.54444,0.0
attock,1988,maize,17.79,26.67,33.6,36.22,52.23,37.48,16.21,21.57,153.85,13.11,5.48,34.62,1.538567,16.76787,7.54444,439.2712550607287
attock,1988,wheat,19.99,15.28,13.53,15.46,15.21,19.69,42.05,37.36,0.0,3.59,18.74,20.23,1.538567,16.76787,7.54444,446.15384615384613
attock,1988,rice,36.22,33.58,32.19,30.87,21.57,52.93,51.96,36.22,34.62,71.37,56.86,19.95,1.538567,16.76787,7.54444,0.0
attock,1989,maize,18.47,23.79,31.61,34.98,48.19,30.81,16.88,21.86,53.35,12.77,7.22,23.8,1.538567,16.76787,7.54444,439.6761133603238
attock,1989,wheat,19.54,14.76,10.53,12.53,17.49,38.68,46.64,45.74,0.42,42.0,38.82,12.95,1.538567,16.76787,7.54444,495.5465587044534
attock,1989,rice,34.98,33.52,30.55,29.7,21.86,43.91,55.91,38.6,23.8,106.67,91.87,21.21,1.538567,16.76787,7.54444,0.0
attock,1990,maize,17.2,23.83,33.0,36.78,51.75,44.64,27.48,20.26,85.59,33.32,14.38,8.52,1.538567,16.76787,7.54444,482.5910931174089
attock,1990,wheat,18.48,13.75,12.84,13.03,24.88,43.85,54.1,57.56,4.42,38.6,38.59,88.26,1.538567,16.76787,7.54444,551.8218623481781
attock,1990,rice,36.78,34.45,32.66,29.59,20.26,42.23,52.2,53.41,8.52,54.67,80.73,74.06,1.538567,16.76787,7.54444,0.0
attock,1991,maize,19.3,24.08,31.31,36.42,41.2,34.69,20.07,14.71,21.17,27.97,2.91,1.66,1.538567,16.76787,7.54444,440.080971659919
attock,1991,wheat,19.25,12.86,11.24,13.0,28.13,42.54,46.65,46.46,7.19,43.09,1.36,22.17,1.538567,16.76787,7.54444,563.5627530364372
attock,1991,rice,36.42,36.38,33.11,29.62,14.71,27.89,43.97,42.82,1.66,35.77,58.43,39.15,1.538567,16.76787,7.54444,0.0
attock,1992,maize,16.27,22.65,27.71,34.86,54.86,52.89,42.88,20.76,110.94,48.26,51.59,5.44,1.538567,16.76787,7.54444,424.29149797570847
attock,1992,wheat,18.37,14.36,12.16,12.76,22.98,44.54,53.85,53.97,2.53,12.72,93.85,70.66,1.538567,16.76787,7.54444,523.8866396761133
attock,1992,rice,34.86,33.71,31.25,27.61,20.76,39.56,56.64,52.86,5.44,43.99,117.51,51.43,1.538567,16.76787,7.54444,0.0
attock,1993,maize,16.14,25.37,32.06,34.85,51.16,41.53,22.46,27.4,142.22,15.57,19.0,49.93,1.538567,16.76787,7.54444,417.8137651821862
attock,1993,wheat,18.24,14.47,10.23,15.92,30.85,46.3,50.91,42.23,20.36,20.68,25.77,22.33,1.538567,16.76787,7.54444,440.89068825910925
attock,1993,rice,34.85,33.09,33.13,29.82,27.4,45.79,39.06,39.47,49.93,79.45,39.33,35.38,1.538567,16.76787,7.54444,0.0
attock,1994,maize,20.29,22.54,31.14,36.56,43.95,42.01,28.35,21.37,40.89,67.02,35.89,17.72,1.538567,16.76787,7.54444,439.6761133603238
attock,1994,wheat,19.49,15.39,12.44,12.32,24.14,18.31,42.94,49.59,8.47,0.0,22.55,43.84,1.538567,16.76787,7.54444,491.497975708502
attock,1994,rice,36.56,33.61,30.84,27.6,21.37,52.34,64.97,49.24,17.72,112.11,132.69,31.08,1.538567,16.76787,7.54444,0.0
attock,1995,maize,17.48,21.75,30.06,35.68,48.34,52.88,36.44,22.62,101.11,122.68,29.48,7.53,1.538567,16.76787,7.54444,449.7975708502024
attock,1995,wheat,19.38,12.51,10.97,13.65,35.17,46.38,45.61,49.51,0.93,44.22,25.56,66.9,1.538567,16.76787,7.54444,588.663967611336
